listing_id,nb_reviews,neg_proprete,pct_proprete,neg_bruit,pct_bruit,neg_confort_literie,pct_confort_literie,neg_temperature,pct_temperature,neg_accueil,pct_accueil
1413371,80,3,3.8,2,2.5,0,0.0,0,0.0,0,0.0
1421443,33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1437355,21,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1440894,91,1,1.1,2,2.2,0,0.0,1,1.1,0,0.0
1454611,9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1499802,496,1,0.2,6,1.2,0,0.0,0,0.0,0,0.0
1547915,13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1605871,126,0,0.0,1,0.8,0,0.0,0,0.0,1,0.8
1612990,128,0,0.0,2,1.6,2,1.6,0,0.0,0,0.0
1765419,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1829529,14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1845964,62,1,1.6,0,0.0,0,0.0,1,1.6,0,0.0
1873856,112,0,0.0,1,0.9,0,0.0,0,0.0,0,0.0
1890659,100,2,2.0,17,17.0,0,0.0,0,0.0,0,0.0
1926172,403,2,0.5,5,1.2,3,0.7,0,0.0,1,0.2
1939935,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1949284,13,0,0.0,1,7.7,2,15.4,0,0.0,0,0.0
1981739,47,2,4.3,1,2.1,1,2.1,1,2.1,0,0.0
1989263,26,0,0.0,0,0.0,1,3.8,0,0.0,0,0.0
1997144,402,4,1.0,3,0.7,2,0.5,2,0.5,1,0.2
2024975,27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2029668,78,0,0.0,7,9.0,0,0.0,0,0.0,0,0.0
2144094,431,0,0.0,7,1.6,0,0.0,0,0.0,2,0.5
2154652,11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2225756,193,3,1.6,0,0.0,0,0.0,0,0.0,0,0.0
2229602,5,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0
2231377,181,0,0.0,1,0.6,0,0.0,0,0.0,0,0.0
2248994,842,4,0.5,15,1.8,5,0.6,4,0.5,0,0.0
2317125,9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2324216,9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2343221,13,2,15.4,0,0.0,0,0.0,0,0.0,0,0.0
2384060,181,0,0.0,1,0.6,0,0.0,0,0.0,0,0.0
2404231,40,0,0.0,0,0.0,1,2.5,0,0.0,0,0.0
2406128,37,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2436520,35,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2517422,31,2,6.5,0,0.0,0,0.0,0,0.0,0,0.0
2518522,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2522837,747,1,0.1,194,26.0,8,1.1,1,0.1,5,0.7
2525201,218,3,1.4,10,4.6,0,0.0,1,0.5,0,0.0
2546284,44,0,0.0,3,6.8,0,0.0,0,0.0,0,0.0
2562812,82,1,1.2,0,0.0,0,0.0,2,2.4,0,0.0
2604928,209,2,1.0,5,2.4,2,1.0,0,0.0,0,0.0
2690733,48,2,4.2,0,0.0,0,0.0,0,0.0,0,0.0
